Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,Staff of Domination,cmr,Near Mint,English,,,2023-04-06 15:04:39.205142,343,False,False,
1,1,"Colfenor, the Last Yew",cmr,Near Mint,English,,,2023-04-06 15:04:39.205656,274,False,False,
1,1,Body of Knowledge,cmr,Near Mint,English,,,2023-04-06 15:04:39.206179,59,False,False,
1,1,Court of Cunning,cmr,Near Mint,English,,,2023-04-06 15:04:39.206691,63,False,False,
1,1,Nevinyrral's Disk,cmr,Near Mint,English,,,2023-04-06 15:04:39.207207,328,False,False,
1,1,Siren Stormtamer,cmr,Near Mint,English,,,2023-04-06 15:04:39.207715,96,False,False,
1,1,Fyndhorn Elves,cmr,Near Mint,English,,,2023-04-06 15:04:39.208218,228,False,False,
1,1,Dragon Mantle,cmr,Near Mint,English,,,2023-04-06 15:04:39.208719,174,False,False,
1,1,"Nymris, Oona's Trickster",cmr,Near Mint,English,,,2023-04-06 15:04:39.209228,288,False,False,
1,1,Opal Palace,cmr,Near Mint,English,,,2023-04-06 15:04:39.209728,352,False,False,
1,1,Imperious Perfect,cmr,Near Mint,English,,,2023-04-06 15:04:39.210227,235,False,False,
1,1,Preordain,cmr,Near Mint,English,,,2023-04-06 15:04:39.210731,84,False,False,
1,1,War Room,cmr,Near Mint,English,,,2023-04-06 15:04:39.211228,361,False,False,
1,1,Command Tower,cmr,Near Mint,English,,,2023-04-06 15:04:39.211733,350,False,False,
1,1,Terramorphic Expanse,cmr,Near Mint,English,foil,,2023-04-06 15:04:39.212236,357,False,False,
1,1,Manifold Key,clb,Near Mint,English,,,2023-04-06 15:04:39.212741,319,False,False,
1,1,Elminster,clb,Near Mint,English,,,2023-04-06 15:04:39.213259,274,False,False,
1,1,Displacer Kitten,clb,Near Mint,English,,,2023-04-06 15:04:39.213767,63,False,False,
1,1,Mindcrank,clb,Near Mint,English,,,2023-04-06 15:04:39.214268,866,False,False,
1,1,Black Market,clb,Near Mint,English,,,2023-04-06 15:04:39.214770,739,False,False,
1,1,Decanter of Endless Water,rbclb,Near Mint,English,,,2023-04-06 15:04:39.215271,444,False,False,
1,1,"Oji, the Exquisite Blade",rbclb,Near Mint,English,,,2023-04-06 15:04:39.215779,436,False,False,
1,1,Thrakkus the Butcher,rbclb,Near Mint,English,,,2023-04-06 15:04:39.216287,440,False,False,
1,1,Rith's Grove,ps,Near Mint,English,,,2023-04-06 15:04:39.216792,141,False,False,
1,1,Terminal Moraine,ps,Near Mint,English,,,2023-04-06 15:04:39.217294,142,False,False,
1,1,Treva's Ruins,ps,Near Mint,English,,,2023-04-06 15:04:39.217792,143,False,False,
1,1,Bite of the Black Rose,cns,Near Mint,English,,,2023-04-06 15:04:39.218290,26,False,False,
1,1,Brago's Representative,cns,Near Mint,English,,,2023-04-06 15:04:39.218791,14,False,False,
1,1,Custodi Squire,cns,Near Mint,English,,,2023-04-06 15:04:39.219296,18,False,False,
1,1,Grudge Keeper,cns,Near Mint,English,,,2023-04-06 15:04:39.219815,28,False,False,
1,1,Magister of Worth,cns,Near Mint,English,,,2023-04-06 15:04:39.220318,48,False,False,
1,1,Split Decision,cns,Near Mint,English,,,2023-04-06 15:04:39.220823,25,False,False,
1,1,Tyrant's Choice,cns,Near Mint,English,,,2023-04-06 15:04:39.221326,30,False,False,
1,1,Birds of Paradise,cn2,Near Mint,English,,,2023-04-06 15:04:39.221835,176v,False,False,
1,1,Ballot Broker,cn2,Near Mint,English,,,2023-04-06 15:04:39.222338,13v,False,False,
1,1,Illusion of Choice,cn2,Near Mint,English,,,2023-04-06 15:04:39.222839,31v,False,False,
1,1,Fleshbag Marauder,cn2,Near Mint,English,,,2023-04-06 15:04:39.223341,136v,False,False,
